193	316	97	322	74	365
71	368	52	377	15	258
191	319	62	260	170	231
10	300	58	230	145	354
139	279	140	378	35	296
105	238	152	399	61	259
99	314	157	339	94	264
88	298	75	207	33	342
143	370	133	208	127	212
91	389	94	288	90	386
133	253	71	269	126	274
8	320	27	305	83	384
6	277	67	374	153	393
109	332	195	333	64	336
119	213	120	383	4	307
199	350	139	375	167	257
126	360	102	293	9	267
17	214	167	352	36	405
104	305	86	243	52	224
84	211	85	212	160	279
54	261	68	363	24	278
81	265	45	340	103	298
186	403	59	366	7	240
134	347	149	228	180	253
196	334	43	307	29	321
96	272	60	223	150	304
1	206	41	405	62	268
64	371	192	344	80	208
15	260	84	286	85	404
162	309	13	276	181	351
95	329	107	280	184	277
85	256	22	323	76	289
167	286	49	317	30	221
44	335	187	265	51	219
125	340	204	355	88	299
58	377	35	342	22	376
82	255	83	354	118	215
177	327	32	231	115	363
66	396	30	327	67	368
56	237	48	309	202	285
184	400	40	284	154	323
190	310	2	282	59	389
36	221	1	236	171	329
76	302	170	338	120	379
183	294	138	275	105	222
79	289	50	311	166	301
61	297	137	272	129	247
132	388	25	255	40	330
189	405	14	247	178	332
57	240	110	313	161	348
175	268	12	369	131	370
174	307	200	343	123	316
86	369	177	294	54	390
197	317	29	403	53	343
116	341	74	290	89	273
142	328	79	281	21	374
63	236	129	331	69	238
73	259	118	225	164	292
70	359	124	406	163	275
130	366	20	391	156	385
87	306	136	289	101	309
52	223	130	306	47	210
22	362	145	359	44	361
181	270	99	257	165	229
60	364	8	239	196	252
114	247	37	334	174	383
35	353	160	365	152	345
164	284	174	395	137	388
29	276	151	205	27	294
176	408	115	298	185	261
3	208	26	217	141	295
40	271	55	324	139	392
161	267	54	252	50	312
102	365	16	368	136	223
13	229	88	278	49	380
194	343	183	312	100	340
53	217	123	304	134	327
171	348	184	253	56	360
47	241	42	258	186	375
48	383	3	397	26	326
51	357	172	348	19	352
115	342	69	347	117	371
121	273	178	232	77	211
11	205	196	315	144	281
39	244	96	301	92	322
18	337	101	279	192	334
163	407	80	251	14	308
2	352	87	213	110	230
137	215	169	227	157	248
49	345	190	245	87	226
188	212	104	242	119	347
69	227	57	371	109	373
32	304	114	233	5	235
67	280	171	300	177	255
192	339	17	376	122	209
150	401	81	384	143	398
120	254	108	319	148	286
77	331	34	382	91	315
43	318	176	407	10	356
147	308	188	373	176	305
103	218	193	249	112	250
19	385	194	367	140	297
100	269	95	326	11	369
123	324	125	229	16	395
202	323	33	308	104	325
112	245	23	318	2	402
24	257	38	353	116	401
101	336	51	361	107	242
74	243	186	297	72	271
127	282	148	332	135	249
30	281	179	401	189	366
151	395	166	285	82	346
152	361	11	370	138	407
31	381	146	296	97	337
90	384	92	270	200	310
131	404	18	385	102	290
107	246	66	364	147	225
141	375	134	266	99	269
27	346	72	267	172	333
129	219	201	381	113	339
20	222	156	271	168	358
34	402	44	220	68	355
168	393	106	336	79	396
195	231	135	235	130	207
5	251	112	321	71	302
42	378	90	219	38	311
110	299	173	256	63	228
98	379	24	211	66	272
165	386	4	394	106	262
108	220	189	244	121	243
111	274	164	360	37	254
153	333	76	335	18	276
187	330	119	341	201	214
28	230	63	379	95	367
94	283	122	241	179	245
140	312	113	263	197	391
148	291	65	362	39	335
113	399	78	380	57	320
159	290	126	400	182	260
78	248	121	328	1	270
203	252	100	325	96	241
122	313	128	215	125	338
198	363	175	404	86	280
45	322	53	221	114	246
68	242	28	299	75	377
12	210	7	408	45	349
9	315	155	316	169	236
158	390	73	393	128	263
144	295	5	226	41	350
117	250	46	206	12	331
26	235	109	210	149	400
178	258	82	357	194	284
62	367	142	237	8	362
172	239	165	240	65	359
59	264	141	390	108	288
21	376	56	218	78	408
46	397	116	303	17	324
4	373	6	398	190	317
16	234	91	320	183	217
166	398	168	330	13	239
50	391	93	261	43	232
38	351	127	389	132	244
14	303	39	358	34	406
146	249	153	254	28	256
149	262	154	329	191	318
7	263	19	246	204	319
156	285	105	262	199	265
33	287	162	224	151	282
80	232	197	274	73	287
41	278	147	216	111	237
93	338	198	388	203	387
169	394	161	268	146	291
97	226	180	259	158	300
83	349	70	283	188	266
75	275	47	287	187	353
128	311	117	346	155	344
25	392	158	264	60	381
179	358	181	277	193	328
157	296	163	372	42	382
155	225	10	387	6	357
89	344	143	209	25	306
201	406	182	386	142	372
160	382	159	314	46	218
65	301	111	273	58	283
170	380	150	345	20	213
72	288	36	302	159	341
182	228	61	292	31	205
135	326	131	350	32	251
154	356	185	222	173	216
106	233	191	402	198	313
23	355	77	248	93	399
138	209	15	349	48	403
204	266	202	310	162	206
124	372	132	238	133	364
185	321	203	291	55	234
200	224	103	396	23	394
55	354	98	250	84	220
136	216	89	337	98	233
145	374	9	351	124	314
173	325	64	295	70	303
180	207	199	234	175	293
37	387	144	214	3	378
92	292	21	356	81	227
118	293	31	392	195	397
